#rounds / 20;its;csp value;cost breakdown;unique cols;selected cols;dummy cols;hourly cost dummy cols;mipgap;mip time;total time
50;50000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.81666666666666);234;44;3;292.5;0;75.49599981;92.3836494
50;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.65);234;44;3;292.5;0;75.35899997;108.9297267
50;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.4);225;44;3;292.5;0;75.33700013;107.8105834
50;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 67.98333333333333);228;44;3;292.5;0;75.36300015;107.9995055
50;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 69.06666666666666);234;44;3;292.5;0;75.37599993;109.098592
50;100000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 67.81666666666666);231;44;3;292.5;0;75.39500022;109.4508586
50;500000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.23333333333333);223;44;3;292.5;0;75.31299996;238.620967
50;500000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 67.95);224;44;3;292.5;0;75.12800002;243.3680871
50;500000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.38333333333334);220;44;3;292.5;0;75.26800013;238.6161644
50;500000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.11666666666666);222;44;3;292.5;0;75.28800011;247.5283998
50;500000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 67.98333333333333);218;44;3;292.5;0;75.27600002;241.0515228
50;1000000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.11666666666666);222;44;3;292.5;0;75.17700005;395.7653949
50;1000000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 68.1);219;44;3;292.5;0;75.0999999;406.2919205
50;1000000;320771.3333;(0, 0, 0, 0, 0, 0, 247.86666666666667, 170.83333333333334, 148.93333333333334, 69.2);220;44;3;292.5;0;75.28600001;399.5377518
50;1000000;320565.5;(0, 0, 0, 0, 0, 0, 244.7, 169.03333333333333, 147.56666666666666, 67.98333333333333);226;44;3;292.5;0;75.1559999;437.3815094
50;1000000;320771.3333;(0, 0, 0, 0, 0, 0, 247.86666666666667, 170.83333333333334, 148.93333333333334, 69.78333333333333);224;44;3;292.5;0;75.18799996;437.7068205
50;5000000;320803.8333;(0, 0, 0, 0, 0, 0, 248.36666666666667, 170.83333333333334, 148.93333333333334, 69.55);214;44;3;292.5;0;75.11599994;1868.515353
50;5000000;320905.6667;(0, 0, 0, 0, 0, 0, 249.93333333333334, 170.8, 148.9, 71.7);205;44;3;292.5;0;75.17799997;1842.916176
50;5000000;320868.8333;(0, 0, 0, 0, 0, 0, 249.36666666666667, 170.81666666666666, 148.91666666666666, 71.13333333333334);211;44;3;292.5;5.70E-05;75.57799983;1671.346911
50;5000000;320699.8333;(0, 0, 0, 0, 0, 0, 246.76666666666668, 169, 147.53333333333333, 71.05);214;44;3;292.5;0;75.42900014;1728.873117
50;5000000;320598;(0, 0, 0, 0, 0, 0, 245.2, 169.03333333333333, 147.56666666666666, 68.9);215;44;3;292.5;0;75.40399981;1720.974768
